OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
1,2012,"TOYOTA/ TOYOTA MOTOR CO., LTD.",CAMRY,Automobile,DGR,8000,Sunday,Y,Orléans North West,Ward 2 - Orléans West-Innes,Sector 31,5/20/2019 5:00:00 AM,5/19/2019 5:00:00 AM,2019,"JEANNE D'ARC BLVD, MILLWOOD CRT",East,5050124.04,Evening,Laura Dudas,1100,2300,380182.9261,5038170.593
2,2016,NISSAN,,Automobile,BLK,,Monday,Y,Orléans Village - Chateauneuf,Ward 2 - Orléans West-Innes,Sector 31,5/20/2019 5:00:00 AM,5/20/2019 5:00:00 AM,2019,"BELCOURT BLVD, LEBLANC DR, BARSONA PL",East,5050125.05,Night,Laura Dudas,400,400,381423.9357,5036996.5761
3,,,,Other,RED,2500,Monday,N,Britannia Village,Ward 7 - Bay,Sector 14,5/21/2019 5:00:00 AM,5/20/2019 5:00:00 AM,2019,"140 E OF POULIN AVE, RICHMOND RD",West,5050030.00,Evening,Theresa Kavanagh,1000,2300,360401.0446,5025020.2489
4,2018,AUDI,,Automobile,BLK,128000,Friday,Y,Vanier South,Ward 13 - Rideau-Rockcliffe,Sector 25,5/21/2019 5:00:00 AM,4/12/2019 5:00:00 AM,2019,"CAMIL ST, ST. LAURENT BLVD",Central,5050061.00,,Rawlson King,1400,,371577.4509,5033729.9367
5,2008,VOLVO,,Automobile,SIL,,Tuesday,Y,Centretown,Ward 14 - Somerset,Sector 23,5/21/2019 5:00:00 AM,5/21/2019 5:00:00 AM,2019,"BANK ST, LAURIER AVE",Central,5050048.00,Morning,Ariel Troster,1200,1000,367483.9831,5031266.4112
6,,CHEVROLET,SONIC,Automobile,WHI,,Tuesday,Y,Cityview - Skyline - Fisher Heights,Ward 9 - Knoxdale-Merivale,Sector 17,5/21/2019 5:00:00 AM,5/21/2019 5:00:00 AM,2019,"KESLER AVE, WILLETH AVE",West,5050132.00,Morning,Sean Devine,900,900,365814.895,5025595.5237
7,2012,AUDI,,Automobile,BLU,,Tuesday,Y,Westboro,Ward 15 - Kitchissippi,Sector 21,5/21/2019 5:00:00 AM,5/21/2019 5:00:00 AM,2019,"CURRELL AVE, IRENE CRES",Central,5050033.01,Morning,Jeff Leiper,800,800,363828.8864,5027263.5376
8,2017,HYUNDAI,,Suv,BLK,,Tuesday,Y,Crestview - Meadowlands,Ward 8 - College,Sector 17,5/21/2019 5:00:00 AM,5/21/2019 5:00:00 AM,2019,"BASELINE RD, DEERFIELD DR",West,5050133.00,Afternoon,Laine Johnson,200,1700,363374.5993,5024272.1882
9,,KUBOTA TRACTOR CORP.,,Other,ONG,,Tuesday,N,Britannia Village,Ward 7 - Bay,Sector 14,5/21/2019 5:00:00 AM,5/21/2019 5:00:00 AM,2019,"BOND ST, FOREST ST",West,5050030.00,Afternoon,Theresa Kavanagh,1500,1400,360515.871,5025039.5169
10,,,,Other,BLU,,Wednesday,N,Centretown,Ward 14 - Somerset,Sector 23,5/22/2019 5:00:00 AM,5/22/2019 5:00:00 AM,2019,"ALBERT ST, LYON ST N  ",Central,5050048.00,Morning,Ariel Troster,1500,900,367066.387,5031220.7391
11,2010,,,Motorcycle,BLU,,Wednesday,N,Bayshore,Ward 7 - Bay,Sector 14,5/22/2019 5:00:00 AM,5/22/2019 5:00:00 AM,2019,"WOODRIDGE CRES, TRANSITWAY LINK",West,5050138.00,Morning,Theresa Kavanagh,1900,1000,358890.0021,5023214.2222
12,2006,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,LBL,,Tuesday,Y,Carlington,Ward 16 - River,Sector 21,5/22/2019 5:00:00 AM,5/21/2019 5:00:00 AM,2019,"MERIVALE RD,30m S SUMMERVILLE AVE",Central,5050022.00,Evening,Riley Brockington,100,2200,364879.0313,5026415.1378
13,2010,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,BLK,,Tuesday,Y,Bells Corners West,Ward 8 - College,Sector 15,5/22/2019 5:00:00 AM,5/21/2019 5:00:00 AM,2019,"MOODIE DR, ROBERTSON RD",West,5050136.02,Afternoon,Laine Johnson,1200,1600,357066.8466,5020454.4759
14,2008,INFINITI,,Automobile,BRNPLE,8000,Thursday,N,West Centertown,Ward 14 - Somerset,Sector 22,5/23/2019 5:00:00 AM,5/23/2019 5:00:00 AM,2019,"ANDERSON ST, BOOTH ST",Central,5050042.00,Evening,Ariel Troster,200,2300,366650.895,5030123.5618
15,2013,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,GRY,,Thursday,Y,Carlington,Ward 16 - River,Sector 21,5/23/2019 5:00:00 AM,5/23/2019 5:00:00 AM,2019,"MAYVIEW AVE, MEDFORD ST",Central,5050022.00,Morning,Riley Brockington,1100,900,364641.8904,5026260.5287
16,2008,MITSUBISHI,OUTLANDER,Suv,GRN,,Thursday,N,Greenboro East,Ward 10 - Gloucester-Southgate,Sector 35,5/24/2019 5:00:00 AM,5/23/2019 5:00:00 AM,2019,"CUTTS PRIV, PATOLA PRIV",East,5050001.06,Evening,Jessica Bradley,1000,2100,372073.9241,5024694.5147
17,2013,MERCEDES-BENZ,250 SERIES,Automobile,WHI,,Thursday,Y,Byward Market,Ward 12 - Rideau-Vanier,Sector 24,5/24/2019 5:00:00 AM,5/23/2019 5:00:00 AM,2019,"BESSERER ST, CUMBERLAND ST",Central,5050054.00,Evening,Stéphanie Plante,800,1800,368416.8989,5032255.5795
18,2005,INFINITI,G35,Automobile,BLK,,Saturday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,5/25/2019 5:00:00 AM,5/25/2019 5:00:00 AM,2019,"CABARET LANE, MARSALA CRES S",East,5050170.09,Evening,Matthew Luloff,1800,1800,383889.9474,5037139.5642
19,2015,DODGE,DURANGO,Suv,GRY,,Sunday,N,East Industrial,Ward 18 - Alta Vista,Sector 33,5/26/2019 5:00:00 AM,5/26/2019 5:00:00 AM,2019,"TERMINAL AVE, RAILMARKET PRIV",East,5050011.01,Afternoon,Marty Carr,1400,1200,371421.0894,5030900.3288
20,,,,Motorcycle,BLK,,Friday,Y,Cumberland,Ward 1 - Orléans East-Cumberland,Sector 37,5/26/2019 5:00:00 AM,3/15/2019 5:00:00 AM,2019,"REGIONAL RD 174, EAST ST, PETER HARKNESS LANE",East,5050171.06,Afternoon,Matthew Luloff,1100,1200,390420.9695,5042703.5699
21,2014,FORD,EXPLORER,Suv,WHI,,Sunday,Y,Centrepointe,Ward 8 - College,Sector 15,5/26/2019 5:00:00 AM,5/26/2019 5:00:00 AM,2019,"PARKGLEN DR, WOODROFFE AVE",West,5050137.05,Morning,Laine Johnson,700,700,362888.8814,5023125.5021
22,1990,CHEVROLET,CORVETTE,Automobile,WHI,8000,Monday,N,Greely,Ward 20 - Osgoode,Sector 36,5/27/2019 5:00:00 AM,5/27/2019 5:00:00 AM,2019,"DEERMEADOW DR, REINDEER WAY",East,5050191.01,Night,George Darouze,800,0,375105.9329,5010611.4119
23,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Automobile,SIL,,Thursday,N,Byward Market,Ward 12 - Rideau-Vanier,Sector 24,5/27/2019 5:00:00 AM,5/23/2019 5:00:00 AM,2019,"YORK ST, 72M EAST OF SUSSEX DR ",Central,5050054.00,Afternoon,Stéphanie Plante,1400,1500,367866.9792,5032274.2567
24,2006,AUDI,A4,Automobile,GRY,5000,Monday,Y,Braemar Park - Bel Air Heights - Copeland Park,Ward 8 - College,Sector 17,5/27/2019 5:00:00 AM,5/27/2019 5:00:00 AM,2019,"CASTLE HILL CRES, CLYDE AVE",West,5050023.01,Evening,Laine Johnson,200,2100,363991.8875,5025750.5246
25,2007,FORD,F350,Truck,WHI,,Monday,Y,Stittsville,Ward 6 - Stittsville,Sector 13,5/27/2019 5:00:00 AM,5/27/2019 5:00:00 AM,2019,"CARP RD, HAZELDEAN RD",West,5050151.07,Night,Glen Gower,500,500,348804.7727,5014359.432
26,2018,VOLKSWAGEN,,Automobile,WHI,,Friday,N,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Sector 34,5/28/2019 5:00:00 AM,5/24/2019 5:00:00 AM,2019,"EDGE HILL PL, GRASMERE CRES",East,5050005.00,Afternoon,Marty Carr,1200,1200,370326.1597,5026369.3426
27,2001,CHEVROLET,CRUZE,Automobile,BLK,,Monday,Y,Billings Bridge - Alta Vista,Ward 17 - Capital,Sector 34,5/28/2019 5:00:00 AM,5/20/2019 5:00:00 AM,2019,"CLEMENTINE BLVD, HERON RD",East,5050004.00,Night,Shawn Menard,200,500,369547.9106,5026785.5322
28,2012,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,WHI,,Tuesday,Y,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,5/28/2019 5:00:00 AM,5/28/2019 5:00:00 AM,2019,"RIVER RD,BORBRIDGE AVE",East,5050126.04,Afternoon,Steve Desroches,1700,1700,367542.2836,5013980.9508
29,1994,OLDSMOBILE,CUSTOM CRUISER,Automobile,GRY,,Monday,Y,Woodroffe - Lincoln Heights,Ward 7 - Bay,Sector 14,5/28/2019 5:00:00 AM,5/27/2019 5:00:00 AM,2019,"DOMINION AVE, TAY ST",West,5050032.02,Afternoon,Theresa Kavanagh,700,1600,362821.4466,5028138.2552
30,2012,FORD,SPECIAL,Suv,BLK,,Wednesday,Y,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,5/29/2019 5:00:00 AM,5/29/2019 5:00:00 AM,2019,"GLENDALE AVE, PERCY ST",Central,5050036.00,Morning,Shawn Menard,1300,600,367584.9001,5029781.5578
31,2013,CHEVROLET,SILVERADO,Automobile,WHI,,Wednesday,Y,Bayshore,Ward 7 - Bay,Sector 14,5/29/2019 5:00:00 AM,5/29/2019 5:00:00 AM,2019,"CARLING AVE, SCRIVENS ST",West,5050029.00,Afternoon,Theresa Kavanagh,1400,1300,359423.8652,5024257.51
32,2017,LEXUS,,Automobile,WHI,,Wednesday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Sector 31,5/30/2019 5:00:00 AM,5/29/2019 5:00:00 AM,2019,"CHINIAN ST E, FARINCOURT CRES",East,5050171.09,Evening,Catherine Kitts,1300,2300,383899.5824,5034988.2704
33,2017,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,GRY,,Wednesday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,5/30/2019 5:00:00 AM,5/29/2019 5:00:00 AM,2019,"LISBON ST, WINTERPORT WAY W",East,5050170.12,Evening,Matthew Luloff,700,2200,385246.5831,5037864.4539
34,2002,FORD,,Truck,BLU,,Saturday,Y,Carlington,Ward 16 - River,Sector 21,6/2/2019 5:00:00 AM,6/1/2019 5:00:00 AM,2019,"CAVAN ST, EDGECLIFFE AVE",Central,5050022.00,Afternoon,Riley Brockington,1800,1200,364650.4067,5026466.2359
35,2000,GENERAL MOTORS CORP.,,Van,WHI,,Friday,Y,Carp,Ward 5 - West Carleton-March,Sector 11,6/2/2019 5:00:00 AM,5/31/2019 5:00:00 AM,2019,"DIAMONDVIEW RD, MCGEE SIDE RD",West,5050300.00,Morning,Clarke Kelly,1900,1000,342301.7279,5017714.4768
36,2012,HYUNDAI,ACCENT,Automobile,DGR,,Saturday,N,Vanier North,Ward 12 - Rideau-Vanier,Sector 25,6/2/2019 5:00:00 AM,6/1/2019 5:00:00 AM,2019,"GENEST ST, MARIER AVE",Central,5050104.00,Evening,Stéphanie Plante,700,1800,369770.8998,5033816.591
37,2019,VOLKSWAGEN,GOLF,Automobile,WHI,23000,Thursday,Y,Stittsville,Ward 6 - Stittsville,Sector 13,6/3/2019 5:00:00 AM,5/30/2019 5:00:00 AM,2019,"HWY417 IC142 RAMP52, PALLADIUM DR",West,5050300.00,Evening,Glen Gower,1700,1800,349054.6778,5017058.5116
38,2018,CHEVROLET,SUBURBAN,Suv,GRY,,Friday,Y,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,6/3/2019 5:00:00 AM,5/24/2019 5:00:00 AM,2019,"BANK ST, SIEVERIGHT AVE",East,5050123.02,Morning,Jessica Bradley,1300,1100,372195.7651,5024134.3247
39,1992,CATERPILLAR INC,,Other,,,Saturday,N,Russell - Edwards,Ward 20 - Osgoode,Sector 37,6/3/2019 5:00:00 AM,6/1/2019 5:00:00 AM,2019,"BOUNDARY RD, INDCUM RD",East,5050126.04,Afternoon,George Darouze,700,1600,387908.6832,5022576.3953
40,2019,CHEVROLET,SUBURBAN,Suv,BLK,80000,Friday,Y,Bells Corners West,Ward 8 - College,Sector 15,6/3/2019 5:00:00 AM,5/24/2019 5:00:00 AM,2019,"TERRACE DR, WESTCLIFFE RD",West,5050136.02,Afternoon,Laine Johnson,1800,1300,356430.8417,5019990.4719
41,2003,MITSUBISHI,LANCER,Automobile,RED,,Tuesday,N,Pineview,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/4/2019 5:00:00 AM,6/4/2019 5:00:00 AM,2019,"AMBROSE DR S, FOXWELL ST S",East,5050122.02,Night,Tim Tierney,0,0,374416.9229,5031464.5603
42,2018,CHEVROLET,CRUZE,Automobile,GRY,,Tuesday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Sector 34,6/4/2019 5:00:00 AM,6/4/2019 5:00:00 AM,2019,"CEDARWOOD DR, WALKLEY RD",East,5050007.02,Night,Marty Carr,300,300,371194.9182,5026454.5284
43,1986,CHEVROLET,CORVETTE,Automobile,BLK,29000,Sunday,N,Richmond,Ward 21 - Rideau-Jock,Sector 12,6/4/2019 5:00:00 AM,6/2/2019 5:00:00 AM,2019,"HIGHWAY 416, HWY 416 BANKFIEL IC57R53",West,5050200.02,Evening,David Brown,1800,1800,365034.0206,5007501.2477
44,2018,HYUNDAI,,Automobile,WHI,,Wednesday,N,Westboro,Ward 15 - Kitchissippi,Sector 21,6/5/2019 5:00:00 AM,6/5/2019 5:00:00 AM,2019,"EDGEWOOD AVE, LINCOLN AVE",Central,5050033.01,Evening,Jeff Leiper,200,2000,363443.988,5028276.078
45,2013,CHEVROLET,SILVERADO,Truck,WHI,,Wednesday,Y,Vanier North,Ward 12 - Rideau-Vanier,Sector 25,6/5/2019 5:00:00 AM,6/5/2019 5:00:00 AM,2019,"DUNBARTON CRT, ST. LAURENT BLVD",Central,5050060.00,Morning,Stéphanie Plante,800,800,371333.2117,5034329.9715
46,2013,LEXUS,GS300,Automobile,BLK,,Wednesday,Y,East Industrial,Ward 18 - Alta Vista,Sector 33,6/6/2019 5:00:00 AM,6/5/2019 5:00:00 AM,2019,"INDUSTRIAL AVE, RUSSELL RD",East,5050011.01,Evening,Marty Carr,1000,1900,372465.917,5030278.5556
47,2018,SUBARU,OUTBACK,Automobile,WHI,,Saturday,Y,Hunt Club - Ottawa Airport,Ward 10 - Gloucester-Southgate,Sector 35,6/6/2019 5:00:00 AM,4/20/2019 5:00:00 AM,2019,"CLEAR SKIES PRIV, KIOWA PRIV",East,5050127.00,Morning,Jessica Bradley,1000,800,369814.3742,5020928.2433
48,1994,GENERAL MOTORS CORP.,SAFARI,Van,BLU,,Friday,Y,West Centertown,Ward 14 - Somerset,Sector 22,6/7/2019 5:00:00 AM,6/7/2019 5:00:00 AM,2019,"BOOTH ST, RAYMOND ST",Central,5050042.00,Morning,Ariel Troster,1900,900,366859.8504,5029640.4553
49,2012,BMW,,Automobile,BRZ,14000,Saturday,Y,East Industrial,Ward 18 - Alta Vista,Sector 33,6/8/2019 5:00:00 AM,6/8/2019 5:00:00 AM,2019,"BARBERRY LANE, LANCASTER RD",East,5050011.01,,Marty Carr,200,,374694.4123,5028956.5622
50,2018,FORD,SPECIAL,Suv,BLK,,Friday,Y,Stittsville,Ward 6 - Stittsville,Sector 13,6/8/2019 5:00:00 AM,6/7/2019 5:00:00 AM,2019,"GREENHAVEN CRES, WEST RIDGE DR N",West,5050151.06,Evening,Glen Gower,900,2200,349821.0295,5012592.0413
51,2017,BMW,,Automobile,BLK,50000,Saturday,Y,Civic Hospital-Central Park,Ward 15 - Kitchissippi,Sector 21,6/9/2019 5:00:00 AM,6/8/2019 5:00:00 AM,2019,"HARMER AVE, ISLAND PARK DR",Central,5050034.00,Afternoon,Jeff Leiper,900,1500,365188.8915,5028143.5453
52,2007,DODGE,CARAVAN,Automobile,GRN,,Sunday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,6/9/2019 5:00:00 AM,6/9/2019 5:00:00 AM,2019,"CHARLOTTE ST, TORMEY ST, BRIGADIER PRIV",Central,5050053.00,Morning,Stéphanie Plante,1000,1000,369210.7709,5032905.2753
53,2019,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Automobile,BLK,,Saturday,Y,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,6/9/2019 5:00:00 AM,6/8/2019 5:00:00 AM,2019,"MELGUND AVE, MONK ST",Central,5050018.00,Evening,Shawn Menard,800,2300,368397.9038,5029228.553
54,2008,MAZDA,TRIBUTE,Suv,BLK,6000,Sunday,N,Pineview,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/10/2019 5:00:00 AM,6/9/2019 5:00:00 AM,2019,"AMBROSE DR, FOXWELL ST N",East,5050122.02,Evening,Tim Tierney,500,2200,374390.9217,5031514.5613
55,,,,Other,,,Sunday,N,Centretown,Ward 14 - Somerset,Sector 23,6/11/2019 5:00:00 AM,6/9/2019 5:00:00 AM,2019,"DERBY PL, GILMOUR ST",Central,5050038.00,Night,Ariel Troster,1600,200,367866.7158,5030819.2526
56,2004,FORD,F350,Automobile,WHI,,Monday,N,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 10 - Gloucester-Southgate,Sector 34,6/11/2019 5:00:00 AM,6/10/2019 5:00:00 AM,2019,"GABLE PRIV, GATEVILLE PRIV",East,5050001.01,Evening,Jessica Bradley,600,2200,372007.6964,5026428.4711
57,2007,MAZDA,,Suv,BRN,,Tuesday,Y,Cummings,Ward 13 - Rideau-Rockcliffe,Sector 32,6/11/2019 5:00:00 AM,6/11/2019 5:00:00 AM,2019,"MONTREAL RD, BORTHWICK AVE",East,5050061.00,Night,Rawlson King,700,100,371943.3448,5034007.487
58,2016,LEXUS,,Suv,BLK,38800,Monday,N,Bells Corners East,Ward 8 - College,Sector 15,6/11/2019 5:00:00 AM,6/10/2019 5:00:00 AM,2019,"ELLERY CRES, VIRGIL RD",West,5050136.01,Afternoon,Laine Johnson,900,1200,358002.2792,5020821.4596
59,2011,DODGE,RAM 1500 PU,Truck,BLU,17000,Tuesday,Y,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 23 - Kanata South,Sector 13,6/11/2019 5:00:00 AM,6/11/2019 5:00:00 AM,2019,"FRANK NIGHBOR PL, SILVER SEVEN RD",West,5050160.03,Afternoon,Allan Hubley,1600,1600,350760.0065,5018218.8535
60,2019,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Automobile,BLK,52000,Tuesday,Y,Laurentian,Ward 7 - Bay,Sector 14,6/12/2019 5:00:00 AM,6/11/2019 5:00:00 AM,2019,"CROSSFIELD AVE, FRASER AVE",West,5050032.02,Evening,Theresa Kavanagh,800,2300,362607.5995,5027400.241
61,2019,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Suv,WHI,,Tuesday,N,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,6/12/2019 5:00:00 AM,6/11/2019 5:00:00 AM,2019,"DONALD ST, MARGUERITE AVE",Central,5050013.00,Evening,Rawlson King,800,2300,370080.9048,5032243.5765
62,2007,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,BLK,,Tuesday,Y,Bridlewood - Emerald Meadows,Ward 23 - Kanata South,Sector 13,6/12/2019 5:00:00 AM,6/11/2019 5:00:00 AM,2019,"EQUESTRIAN DR, SILVER HORSE CRES",West,5050161.05,Evening,Allan Hubley,800,2200,355232.8257,5016217.4386
63,2014,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,WHI,,Wednesday,N,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Sector 16,6/13/2019 5:00:00 AM,6/12/2019 5:00:00 AM,2019,"BERRIGAN DR, LONGFIELDS DR",West,5050141.05,Evening,Wilson Lo,700,1900,364316.6266,5015639.7238
64,2019,DODGE,DURANGO,Automobile,WHI,,Thursday,N,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,6/13/2019 5:00:00 AM,6/13/2019 5:00:00 AM,2019,"LEITRIM RD, ALBION RD",East,5050126.03,Evening,Steve Desroches,1900,1900,373500.274,5020420.2836
65,,,,Other,,,Wednesday,N,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Ward 9 - Knoxdale-Merivale,Sector 17,6/13/2019 5:00:00 AM,6/12/2019 5:00:00 AM,2019,"FOUR SEASONS DR, SHADETREE CRES N",West,5050131.02,Evening,Sean Devine,1900,2000,366506.899,5024027.5109
66,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",RAV4,Automobile,GRY,,Wednesday,N,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Sector 16,6/13/2019 5:00:00 AM,6/12/2019 5:00:00 AM,2019,"BERRIGAN DR, LONGFIELDS DR",West,5050141.05,Evening,Wilson Lo,1500,1900,364316.6266,5015639.7238
67,2009,FORD,SPECIAL,Automobile,RED,,Thursday,Y,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Sector 33,6/14/2019 5:00:00 AM,6/13/2019 5:00:00 AM,2019,"ROLLAND AVE, SANTA CRUZ PRIV W",East,5050011.04,Afternoon,Marty Carr,1100,1500,370984.5154,5030356.7157
68,2016,DODGE,,Truck,BLK,,Tuesday,N,Metcalfe,Ward 20 - Osgoode,Sector 36,6/14/2019 5:00:00 AM,6/11/2019 5:00:00 AM,2019,"COOPER HILL RD, JOHN QUINN RD",East,5050190.02,Evening,George Darouze,1100,1800,382184.9778,5013933.4392
69,1990,FORD,,Motor Home,BGE,,Tuesday,Y,Osgoode,Ward 20 - Osgoode,Sector 36,6/14/2019 5:00:00 AM,6/11/2019 5:00:00 AM,2019,"BANK ST, KENNEDY RD",East,5050190.01,Morning,George Darouze,200,700,387608.9656,5001407.3242
70,2018,FORD,F150,Truck,GRY,,Friday,Y,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 4 - Kanata North,Sector 13,6/15/2019 5:00:00 AM,6/14/2019 5:00:00 AM,2019,"KINMOUNT PRIV,KINMOUNT PRIV",West,5050160.03,Afternoon,Cathy Curry,800,1700,349981.4338,5019582.3503
71,2015,"TOYOTA/ TOYOTA MOTOR CO., LTD.",RAV4,Automobile,GRY,,Saturday,Y,Bridlewood - Emerald Meadows,Ward 23 - Kanata South,Sector 13,6/15/2019 5:00:00 AM,6/8/2019 5:00:00 AM,2019,"ELEMENT PRIV, RADIANT PRIV",West,5050161.06,Afternoon,Allan Hubley,1000,1700,355250.1028,5014891.0564
72,2004,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,RED,4400,Saturday,Y,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,6/16/2019 5:00:00 AM,6/15/2019 5:00:00 AM,2019,"WILD SHORE CRES, SHORELINE DR",East,5050126.05,Evening,Steve Desroches,1600,2200,368029.0713,5015024.9135
73,2015,HYUNDAI,ELANTRA,Automobile,BLK,10000,Friday,N,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Ward 9 - Knoxdale-Merivale,Sector 17,6/16/2019 5:00:00 AM,6/14/2019 5:00:00 AM,2019,"MEADOWLANDS DR, NESS ST",West,5050131.02,Afternoon,Sean Devine,200,1600,366417.23,5024944.2349
74,2017,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Automobile,WHI,,Saturday,Y,Rothwell Heights - Beacon Hill North,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/16/2019 5:00:00 AM,6/15/2019 5:00:00 AM,2019,"BUCHANAN CRES, HOLLYBROOK CRES N",East,5050120.03,Evening,Tim Tierney,700,2200,374495.909,5036226.6005
75,2017,"HONDA/AMERICAN HONDA MOTOR CO.,",CRV,Suv,GRY,,Saturday,N,Rothwell Heights - Beacon Hill North,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/16/2019 5:00:00 AM,6/15/2019 5:00:00 AM,2019,"RIVERSHORE CRES, RIVERSHORE CRES",East,5050120.03,Evening,Tim Tierney,1100,2100,374686.91,5036176.5994
76,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",RAV4,Automobile,BLU,,Thursday,Y,Playfair Park - Lynda Park - Guildwood Estates,Ward 18 - Alta Vista,Sector 34,6/17/2019 5:00:00 AM,6/13/2019 5:00:00 AM,2019,"DUNKIRK CRES E, PLAYFAIR DR E",East,5050007.01,Afternoon,Marty Carr,1900,1400,371675.9182,5028211.5409
77,,JOHN DEERE/ DEERE AND COMPANY,,Other,LGR,,Monday,Y,Civic Hospital-Central Park,Ward 15 - Kitchissippi,Sector 21,6/17/2019 5:00:00 AM,6/17/2019 5:00:00 AM,2019,"CARLING AVE, GWYNNE AVE",Central,5050034.00,Evening,Jeff Leiper,200,2100,366059.8951,5028447.5471
78,,JOHN DEERE/ DEERE AND COMPANY,,Other,,4000,Monday,N,Hunt Club South Industrial,Ward 9 - Knoxdale-Merivale,Sector 17,6/17/2019 5:00:00 AM,6/17/2019 5:00:00 AM,2019,"545 E OF ROYDON PL, WEST HUNT CLUB RD",West,5050130.01,Night,Sean Devine,900,300,366437.6793,5022458.3681
79,2017,LAND ROVER,,Automobile,GRY,,Tuesday,N,Stittsville,Ward 6 - Stittsville,Sector 13,6/18/2019 5:00:00 AM,6/18/2019 5:00:00 AM,2019,"HOBIN ST, RENSHAW AVE",West,5050151.04,Afternoon,Glen Gower,1400,1400,349126.7737,5013765.4264
80,2013,"TOYOTA/ TOYOTA MOTOR CO., LTD.",VENZA,Automobile,GRY,,Tuesday,Y,Navan - Carlsbad Springs,Ward 19 - Orléans South-Navan,Sector 37,6/18/2019 5:00:00 AM,6/18/2019 5:00:00 AM,2019,"METEOR AVE, SMITH RD",East,5050171.03,Morning,Catherine Kitts,1100,1100,388128.9906,5031538.5108
81,2018,CHEVROLET,MALIBU,Automobile,BLK,,Tuesday,Y,Carleton Heights - Rideauview,Ward 16 - River,Sector 17,6/18/2019 5:00:00 AM,6/18/2019 5:00:00 AM,2019,"PRINCE OF WALES DR,HOG'S BACK RD,MEADOWLANDS DR",West,5050020.01,Evening,Riley Brockington,200,1800,367372.1117,5025692.4736
82,2006,HYUNDAI,ELANTRA,Automobile,BLU,,Sunday,Y,Trend-Arlington,Ward 9 - Knoxdale-Merivale,Sector 15,6/18/2019 5:00:00 AM,6/16/2019 5:00:00 AM,2019,"CRAMER DR, LAMBERT DR",West,5050135.02,Morning,Sean Devine,200,1100,360531.8679,5021247.4847
