OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
2394,2010,BMW,328I,Automobile,BLU,9000,Sunday,Y,Byward Market,Ward 12 - Rideau-Vanier,Sector 24,10/31/2021 5:00:00 AM,10/31/2021 5:00:00 AM,2021,"RIDEAU ST, WALLER ST",Central,5050054.00,Night,Stéphanie Plante,400,400,368283.5404,5032271.7173
2395,2008,INFINITI,,Automobile,SIL,,Sunday,Y,Constance Bay,Ward 5 - West Carleton-March,Sector 11,10/31/2021 5:00:00 AM,10/31/2021 5:00:00 AM,2021,"BAYVIEW DR W, BISHOP DAVIS DR W",West,5050302.00,Night,Clarke Kelly,400,200,336774.2706,5038968.9942
2396,2020,DODGE,DURANGO,Suv,BLK,65000,Thursday,N,Pineview,Ward 11 - Beacon Hill-Cyrville,Sector 32,10/31/2021 5:00:00 AM,9/30/2021 5:00:00 AM,2021,"APPLETON DR, BLOSSOMFIELD CRT",East,5050122.02,Evening,Tim Tierney,800,2300,375217.2246,5031985.2482
2397,2016,MITSUBISHI,LANCER,Automobile,GRY,,Sunday,Y,Sandy Hill - Ottawa East,Ward 12 - Rideau-Vanier,Sector 24,10/31/2021 5:00:00 AM,10/31/2021 5:00:00 AM,2021,"BESSERER ST, FRIEL ST",Central,5050051.00,,Stéphanie Plante,1900,,368810.8988,5032498.5803
2398,,,,Motorcycle,BLK,,Friday,Y,Island Park,Ward 15 - Kitchissippi,Sector 21,10/31/2021 5:00:00 AM,10/22/2021 5:00:00 AM,2021,"CAROLINE AVE, WELLINGTON ST",Central,5050045.00,Afternoon,Jeff Leiper,1300,1700,364752.7248,5029090.4246
2399,2010,DODGE,,Van,BLU,,Monday,Y,Riverside Park,Ward 16 - River,Sector 34,11/1/2021 5:00:00 AM,11/1/2021 5:00:00 AM,2021,"RIDGEWOOD AVE, RIVERSIDE DR",East,5050003.00,Night,Riley Brockington,1200,100,368280.9067,5025608.5237
2400,2013,HYUNDAI,ACCENT,Automobile,RED,,Monday,Y,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 16 - River,Sector 34,11/1/2021 5:00:00 AM,11/1/2021 5:00:00 AM,2021,"AIRPORT PKY NB OFF RAMP, TRANSITWAY",East,5050001.01,Afternoon,Riley Brockington,1200,1200,370190.9154,5025638.5225
2401,2007,LEXUS,,Automobile,SIL,,Saturday,N,Centretown,Ward 14 - Somerset,Sector 23,11/1/2021 5:00:00 AM,10/30/2021 5:00:00 AM,2021,"ARGYLE AVE S, ELGIN ST",Central,5050037.00,Evening,Ariel Troster,1300,1900,368509.9018,5030644.5647
2402,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Automobile,RED,75000,Thursday,Y,Orléans North West,Ward 2 - Orléans West-Innes,Sector 31,2/12/2021 5:00:00 AM,2/11/2021 5:00:00 AM,2021,"CHABLIS PK, VINEYARD DR N",East,5050124.03,Evening,Laura Dudas,800,1800,378698.9223,5037350.5931
2403,2015,NISSAN,,Automobile,BLU,,Tuesday,Y,Sandy Hill - Ottawa East,Ward 12 - Rideau-Vanier,Sector 24,9/15/2020 5:00:00 AM,9/15/2020 5:00:00 AM,2020,"DALY AVE, WALLER ST",Central,5050050.00,Morning,Stéphanie Plante,1400,1000,368341.3729,5032119.4445
